id,test,question,answer,category,answer_hindi,answer_marathi
1,0,What if I need to know my correct CGPA?,CGPA is seen on the grade card. The CGPA count can be verified by referring to the passing    criteria    mentioned    in    Exam    Ordinance    2020(https://mitwpu.edu.in/examination/images/documents/Examination Ordinances 2020.pdf),grade card,ग्रेड कार्ड पर सीजीपीए लिखा होता है। परीक्षा अध्यादेश 2020 (https://mitwpu.edu.in/examination/images/documents/Examination Ordinances 2020pdf) में उल्लिखित उत्तीर्ण मानदंडों का हवाला देकर सीजीपीए गणना को सत्यापित किया जा सकता है।,ग्रेड कार्डवर CGPA दिसतो. परीक्षा अध्यादेश 2020 (https://mitwpu.edu.in/examination/images/documents/Examination Ordinances 2020.pdf) मध्ये नमूद केलेल्या उत्तीर्ण निकषांचा संदर्भ देऊन CGPA संख्या सत्यापित केली जाऊ शकते.
2,1,I have cleared my backlog but the result sheet does not show GPA and CGPA. Why?," GPA and CGPA are not mentioned on backlog grade cards. GPA, CGPA will be highlighted on regular trimester grade card only.",grade card,"बैकलॉग ग्रेड कार्ड पर जीपीए और सीजीपीए का उल्लेख नहीं है। जीपीए, सीजीपीए को केवल नियमित तिमाही ग्रेड कार्ड पर ही हाइलाइट किया जाएगा।","बॅकलॉग ग्रेड कार्डवर GPA आणि CGPA नमूद केलेले नाहीत. GPA, CGPA फक्त नियमित त्रैमासिक ग्रेड कार्डवर हायलाइट केले जातील."
3,2,"I have cleared my backlog, but the result on ERP is not updated .It still shows earlier CGPA.As a result, it is affecting my CGPA of next trimesters also. How do I get it corrected?"," Grade card shows first attempt GPA and CGPA only. Hence, even if you have cleared backlog, improved CGPA for that trimester will not be seen on grade card.",grade card,"ग्रेड कार्ड केवल पहला प्रयास GPA और CGPA दिखाता है। इसलिए, भले ही आपने बैकलॉग क्लियर कर दिया हो, उस तिमाही के लिए बेहतर सीजीपीए ग्रेड कार्ड पर नहीं देखा जाएगा।","ग्रेड कार्ड प्रथम प्रयत्न GPA आणि CGPA दर्शविते. त्यामुळे, तुम्ही अनुशेष साफ केला असला तरीही, त्या तिमाहीसाठी सुधारित CGPA ग्रेड कार्डवर दिसणार नाही."
4,3,What do I do if I have not received my grade card?,Grade cards should be collected from the student section of your Department. If your grade card is not available at the student section then you must fill the student assistance form (https://mitwpu.edu.in/imaqes/documents/Student-Assistant-Form.pdf)  at  Department of Examination and get the remark from the student section on it and submit to Examination Department.Corrections on grade card /PDC,grade card,ग्रेड कार्ड आपके विभाग के छात्र अनुभाग से एकत्र किए जाने चाहिए। यदि आपका ग्रेड कार्ड छात्र अनुभाग में उपलब्ध नहीं है तो आपको परीक्षा विभाग में छात्र सहायता फॉर्म (https://mitwpu.edu.in/imaqes/documents/Student-Assistant-Form.pdf) भरना होगा और टिप्पणी प्राप्त करनी होगी। उस पर छात्र अनुभाग से और परीक्षा विभाग को जमा करें। ग्रेड कार्ड / पीडीसी में सुधार,तुमच्या विभागातील विद्यार्थी विभागाकडून ग्रेड कार्ड गोळा केले जावेत. जर तुमचे ग्रेड कार्ड विद्यार्थी विभागात उपलब्ध नसेल तर तुम्ही परीक्षा विभागातील विद्यार्थी सहाय्यता फॉर्म (https://mitwpu.edu.in/imaqes/documents/Student-Assistant-Form.pdf) भरा आणि शेरा मिळवा. त्यावरील विद्यार्थी विभागातून आणि परीक्षा विभागाकडे सबमिट करा. ग्रेड कार्ड/पीडीसीवरील सुधारणा
5,4,My name/Father's Name/Mother's name is incorrect on grade card. How do I get it corrected?," Name correction on grade cards/PDC needs to be done in ERP at the office of student section of your Department. Kindly contact the office of student section for the making the required corrections in ERP. Moreover, student must check his/her personal details from time to time in their ERP login.",Corrections on grade card /PDC,"आपके विभाग के छात्र अनुभाग के कार्यालय में ईआरपी में ग्रेड कार्ड/पीडीसी पर नाम सुधार करने की आवश्यकता है। ईआरपी में आवश्यक सुधार करने के लिए कृपया छात्र अनुभाग के कार्यालय से संपर्क करें। इसके अलावा, छात्र को अपने ईआरपी लॉगिन में समय-समय पर अपने व्यक्तिगत विवरण की जांच करनी चाहिए।","तुमच्या विभागाच्या विद्यार्थी विभागाच्या कार्यालयात ERP मध्ये ग्रेड कार्ड/PDC वर नाव दुरुस्ती करणे आवश्यक आहे. ERP मध्ये आवश्यक दुरुस्त्या करण्यासाठी कृपया विद्यार्थी विभागाच्या कार्यालयाशी संपर्क साधा. शिवाय, विद्यार्थ्याने त्यांच्या ईआरपी लॉगिनमध्ये वेळोवेळी त्याचे वैयक्तिक तपशील तपासले पाहिजेत."
6,5,How can I get a new copy of corrected grade cards?," Once the required corrections are done in ERP, You can apply for corrected grade cards by    filling    and    sending    the    student    assistance    form (https://mitwpu.edu.in/imaoes/documents/Student-Assistant-Form.pdf)  having  verification remark from student section along with scan copies of grade cards and screenshot of grade card in ERP that reflects the required corrections to exam.helpdesk@mitwpu.edu.in. In the assistant form, clearly mention details of grade cards in which corrections are required (i.eTrimester no., Regular/Backlog, Month & Year).Submit the original grade cards at Department for Examination.",Corrections on grade card /PDC,"एक बार ईआरपी में आवश्यक सुधार किए जाने के बाद, आप सत्यापन टिप्पणी वाले छात्र सहायता फॉर्म (https://mitwpu.edu.in/imaoes/documents/Student-Assistant-Form.pdf) भरकर और भेजकर सही ग्रेड कार्ड के लिए आवेदन कर सकते हैं। ईआरपी में ग्रेड कार्ड की स्कैन प्रतियों और ग्रेड कार्ड के स्क्रीनशॉट के साथ छात्र अनुभाग से जो आवश्यक सुधारों को दर्शाता है exam.helpdesk@mitwpu.edu.in। सहायक फॉर्म में, उन ग्रेड कार्डों के विवरण का स्पष्ट रूप से उल्लेख करें जिनमें सुधार की आवश्यकता है (यानी तिमाही संख्या, नियमित / बैकलॉग, महीना और वर्ष)। परीक्षा विभाग में मूल ग्रेड कार्ड जमा करें।","एकदा ERP मध्ये आवश्यक दुरुस्त्या केल्या गेल्या की, तुम्ही विद्यार्थी सहाय्यता फॉर्म (https://mitwpu.edu.in/imaoes/documents/Student-Assistant-Form.pdf) भरून आणि सत्यापन टिप्पणीसह पाठवून दुरुस्त केलेल्या ग्रेड कार्डसाठी अर्ज करू शकता. परीक्षा.helpdesk@mitwpu.edu.in वर आवश्यक सुधारणा दर्शविणाऱ्या ग्रेड कार्डच्या स्कॅन प्रती आणि ERP मधील ग्रेड कार्डच्या स्क्रीनशॉटसह विद्यार्थी विभागातून. सहाय्यक फॉर्ममध्ये, ग्रेड कार्ड्सचा तपशील स्पष्टपणे नमूद करा ज्यामध्ये सुधारणा आवश्यक आहेत (i.Trimester क्र., नियमित/बॅकलॉग, महिना आणि वर्ष).परीक्षेसाठी विभाग येथे मूळ ग्रेड कार्ड सबमिट करा."
7,6,From where should I collect the corrected grade cards/PDC?,You have to collect the corrected grade cards/PDC from Department of Examination.,Corrections on grade card /PDC,आपको परीक्षा विभाग से संशोधित ग्रेड कार्ड/पीडीसी प्राप्त करना होगा।,तुम्हाला परीक्षा विभागाकडून दुरुस्त केलेले ग्रेड कार्ड/पीडीसी गोळा करावे लागतील.
8,7,In how many days will I get the corrected grade cards?,Processing of correction on grade cards will take minimum 4 working days after you submit all the required documents at the Department of Examination.Exam Form Issues,Corrections on grade card /PDC,परीक्षा विभाग में सभी आवश्यक दस्तावेज जमा करने के बाद ग्रेड कार्ड में सुधार की प्रक्रिया में न्यूनतम 4 कार्य दिवस लगेंगे। परीक्षा फॉर्म मुद्दे,तुम्ही परीक्षा विभागात सर्व आवश्यक कागदपत्रे सबमिट केल्यानंतर ग्रेड कार्डवरील दुरुस्तीच्या प्रक्रियेस किमान 4 कामकाजाचे दिवस लागतील. परीक्षा फॉर्म समस्या
9,8,Do I need to submit an Exam form for the end term exam?," Yes, it is necessary to fill exam form for every end term exam.",Exam Form Issues,"हां, प्रत्येक अंतिम अवधि की परीक्षा के लिए परीक्षा फॉर्म भरना आवश्यक है।","होय, प्रत्येक अंतिम मुदतीच्या परीक्षेसाठी परीक्षा फॉर्म भरणे आवश्यक आहे."
10,9,"I have an internal backlog, do I need to submit an exam form?"," Yes, it is necessary to fill exam form for internal backlog also.",Exam Form Issues,"हां, आंतरिक बैकलॉग के लिए भी परीक्षा फॉर्म भरना आवश्यक है।","होय, अंतर्गत अनुशेषासाठी देखील परीक्षा फॉर्म भरणे आवश्यक आहे."
11,10,"I have paid all my outstanding fees, do I still have to submit the exam form?",You are required to submit an exam form. There is no connection between outstanding fees and an exam form.,Exam Form Issues,आपको एक परीक्षा फॉर्म जमा करना होगा। बकाया शुल्क और परीक्षा फॉर्म के बीच कोई संबंध नहीं है।,तुम्हाला परीक्षा फॉर्म सबमिट करणे आवश्यक आहे. थकबाकी शुल्क आणि परीक्षा फॉर्म यांच्यात कोणताही संबंध नाही.
12,11,How can I know whether I have an internal backlog or external backlog?," After you fill and submit the exam form, you should download the PDF of your application which shows you the details of subjects you applied for, as well as, whether you have to appear for internal or external or both for the mentioned subjects.",Exam Form Issues,"परीक्षा फॉर्म भरने और जमा करने के बाद, आपको अपने आवेदन का पीडीएफ डाउनलोड करना चाहिए जो आपको उन विषयों का विवरण दिखाता है जिनके लिए आपने आवेदन किया था, साथ ही, चाहे आपको आंतरिक या बाहरी या दोनों उल्लिखित विषयों के लिए उपस्थित होना है।","तुम्ही परीक्षेचा फॉर्म भरल्यानंतर आणि सबमिट केल्यानंतर, तुम्ही तुमच्या अर्जाची PDF डाउनलोड करावी जी तुम्हाला तुम्ही ज्या विषयांसाठी अर्ज केला आहे, तसेच तुम्हाला अंतर्गत किंवा बाह्य किंवा दोन्ही नमूद केलेल्या विषयांसाठी हजर राहायचे आहे की नाही हे दाखवते."
13,12,What if I was unable to fill the exam form in time?," It is mandatory to fill the exam form within the stipulated time only. Under any circumstances, you will not be allowed to fill exam form after the date for exam form filling is over.",Exam Form Issues,निर्धारित समय के भीतर ही परीक्षा फॉर्म भरना अनिवार्य है। किसी भी परिस्थिति में परीक्षा फॉर्म भरने की तिथि समाप्त होने के बाद आपको परीक्षा फॉर्म भरने की अनुमति नहीं दी जाएगी।,"परीक्षेचा फॉर्म निर्धारित वेळेतच भरणे बंधनकारक आहे. कोणत्याही परिस्थितीत, परीक्षा फॉर्म भरण्याची तारीख संपल्यानंतर तुम्हाला परीक्षा फॉर्म भरण्याची परवानगी दिली जाणार नाही."
