question,answer,category
What if I need to know my correct CGPA?,CGPA is seen on the grade card. The CGPA count can be verified by referring to the passing    criteria    mentioned    in    Exam    Ordinance    2020(https://mitwpu.edu.in/examination/images/documents/Examination Ordinances 2020.pdf),grade card
I have cleared my backlog but the result sheet does not show GPA and CGPA. Why?," GPA and CGPA are not mentioned on backlog grade cards. GPA, CGPA will be highlighted on regular trimester grade card only.",grade card
"I have cleared my backlog, but the result on ERP is not updated .It still shows earlier CGPA.As a result, it is affecting my CGPA of next trimesters also. How do I get it corrected?"," Grade card shows first attempt GPA and CGPA only. Hence, even if you have cleared backlog, improved CGPA for that trimester will not be seen on grade card.",grade card
What do I do if I have not received my grade card?,Grade cards should be collected from the student section of your Department. If your grade card is not available at the student section then you must fill the student assistance form (https://mitwpu.edu.in/imaqes/documents/Student-Assistant-Form.pdf)  at  Department of Examination and get the remark from the student section on it and submit to Examination Department.Corrections on grade card /PDC,grade card
My name/Father's Name/Mother's name is incorrect on grade card. How do I get it corrected?," Name correction on grade cards/PDC needs to be done in ERP at the office of student section of your Department. Kindly contact the office of student section for the making the required corrections in ERP. Moreover, student must check his/her personal details from time to time in their ERP login.",Corrections on grade card /PDC
How can I get a new copy of corrected grade cards?," Once the required corrections are done in ERP, You can apply for corrected grade cards by    filling    and    sending    the    student    assistance    form (https://mitwpu.edu.in/imaoes/documents/Student-Assistant-Form.pdf)  having  verification remark from student section along with scan copies of grade cards and screenshot of grade card in ERP that reflects the required corrections to exam.helpdesk@mitwpu.edu.in. In the assistant form, clearly mention details of grade cards in which corrections are required (i.eTrimester no., Regular/Backlog, Month & Year).Submit the original grade cards at Department for Examination.",Corrections on grade card /PDC
From where should I collect the corrected grade cards/PDC?,You have to collect the corrected grade cards/PDC from Department of Examination.,Corrections on grade card /PDC
In how many days will I get the corrected grade cards?,Processing of correction on grade cards will take minimum 4 working days after you submit all the required documents at the Department of Examination.Exam Form Issues,Corrections on grade card /PDC
Do I need to submit an Exam form for the end term exam?," Yes, it is necessary to fill exam form for every end term exam.",Exam Form Issues
"I have an internal backlog, do I need to submit an exam form?"," Yes, it is necessary to fill exam form for internal backlog also.",Exam Form Issues
"I have paid all my outstanding fees, do I still have to submit the exam form?",You are required to submit an exam form. There is no connection between outstanding fees and an exam form.,Exam Form Issues
How can I know whether I have an internal backlog or external backlog?," After you fill and submit the exam form, you should download the PDF of your application which shows you the details of subjects you applied for, as well as, whether you have to appear for internal or external or both for the mentioned subjects.",Exam Form Issues
What if I was unable to fill the exam form in time?," It is mandatory to fill the exam form within the stipulated time only. Under any circumstances, you will not be allowed to fill exam form after the date for exam form filling is over.",Exam Form Issues
Do I have to pay exam fees for regular and backlog separately?," No Regular and Backlog fees have to be paid together.Examination related queries (Applicable for Offline End Term Exam)",Exam Form Issues
How to fill an Examination form?," Select Exam, Course Year and Click on Show. Submit the application and take printout of your exam application form. Submit the print along with complete exam fees (regular + backlog as applicable) to student section. Save the receipt.",Examination related queries (Applicable for Offline End Term Exam)
I have not got my hall ticket. What should I do?,Probable reasons1) Student has not filled exam form.2) Subject Mapping might not be done from Institute.3) Any other technical error.Contact Department of Examination for clarification.,Examination related queries (Applicable for Offline End Term Exam)
I have lost my hall ticket. What is the process for obtaining a duplicate hall ticket ?,Fill the student assistance form and pay fine at Exam Department.,Examination related queries (Applicable for Offline End Term Exam)
My photograph is not seen on hall ticket. What do I need to do?,Paste I-Card size photograph on hall ticket and get it duly attested from Department of Examination.,Examination related queries (Applicable for Offline End Term Exam)
"The course for which I have to appear for, is not seen in the hall ticket. Please tell what should be doneâ€",Contact Examination Department for clarification.Result related queries,Examination related queries (Applicable for Offline End Term Exam)
My result is not visible on ERP. It says Result is withheld. Contact Examination Department. What is the reason?," This message occurs because your result is withheld due to non-submission of eligibility documents, outstanding fees, etc. You need to contact student section for further clarification.",Result related queries
"I have paid my instalment. Yet, why is my result withheld?",Your result may be withheld for any administrative issue. Contact student section for clarification.,Result related queries
When will I get my result in ERP?,Your result will be seen in ERP only after a release order is received from the student section.,Result related queries
